Date,MWh,weekday,month
2023-01-01,357120,1,1
2022-12-31,373979,7,12
2022-12-30,388828,6,12
2022-12-29,406497,5,12
2022-12-28,423600,4,12
2022-12-27,450373,3,12
2022-12-26,445148,2,12
2022-12-25,440051,1,12
2022-12-24,471567,7,12
2022-12-23,433897,6,12
2022-12-22,437369,5,12
2022-12-21,437409,4,12
2022-12-20,439344,3,12
2022-12-19,441335,2,12
2022-12-18,405618,1,12
2022-12-17,401844,7,12
2022-12-16,431541,6,12
2022-12-15,446909,5,12
2022-12-14,445467,4,12
2022-12-13,446120,3,12
2022-12-12,440042,2,12
2022-12-11,406325,1,12
2022-12-10,398472,7,12
2022-12-09,410401,6,12
2022-12-08,395795,5,12
2022-12-07,395569,4,12
2022-12-06,412121,3,12
2022-12-05,414809,2,12
2022-12-04,383809,1,12
2022-12-03,386842,7,12
2022-12-02,414743,6,12
2022-12-01,420331,5,12
2022-11-30,412040,4,11
2022-11-29,409500,3,11
2022-11-28,395059,2,11
2022-11-27,369839,1,11
2022-11-26,355992,7,11
2022-11-25,371896,6,11
2022-11-24,360503,5,11
2022-11-23,395186,4,11
2022-11-22,404262,3,11
2022-11-21,424428,2,11
2022-11-20,399511,1,11
2022-11-19,390704,7,11
2022-11-18,407274,6,11
2022-11-17,406837,5,11
2022-11-16,405670,4,11
2022-11-15,409202,3,11
2022-11-14,393016,2,11
2022-11-13,352217,1,11
2022-11-12,350189,7,11
2022-11-11,375461,6,11
2022-11-10,368441,5,11
2022-11-09,373883,4,11
2022-11-08,364476,3,11
2022-11-07,372260,2,11
2022-11-06,365645,1,11
2022-11-05,348797,7,11
2022-11-04,362783,6,11
2022-11-03,363608,5,11
2022-11-02,363778,4,11
2022-11-01,375433,3,11
2022-10-31,369105,2,10
2022-10-30,338359,1,10
2022-10-29,342245,7,10
2022-10-28,367224,6,10
2022-10-27,362305,5,10
2022-10-26,380186,4,10
2022-10-25,377642,3,10
2022-10-24,369924,2,10
2022-10-23,337044,1,10
2022-10-22,334261,7,10
2022-10-21,363911,6,10
2022-10-20,376629,5,10
2022-10-19,377574,4,10
2022-10-18,366894,3,10
2022-10-17,372337,2,10
2022-10-16,330210,1,10
2022-10-15,332720,7,10
2022-10-14,357356,6,10
2022-10-13,379397,5,10
2022-10-12,362693,4,10
2022-10-11,361815,3,10
2022-10-10,356988,2,10
2022-10-09,331356,1,10
2022-10-08,337114,7,10
2022-10-07,370922,6,10
2022-10-06,366484,5,10
2022-10-05,370598,4,10
2022-10-04,380474,3,10
2022-10-03,371457,2,10
2022-10-02,334579,1,10
2022-10-01,339570,7,10
2022-09-30,358453,6,9
2022-09-29,361651,5,9
2022-09-28,369309,4,9
2022-09-27,372601,3,9
2022-09-26,374670,2,9
2022-09-25,345662,1,9
2022-09-24,331175,7,9
2022-09-23,355382,6,9
2022-09-22,414969,5,9
2022-09-21,430535,4,9
2022-09-20,436421,3,9
2022-09-19,457330,2,9
2022-09-18,408063,1,9
2022-09-17,373341,7,9
2022-09-16,382655,6,9
2022-09-15,397434,5,9
2022-09-14,430059,4,9
2022-09-13,473225,3,9
2022-09-12,463393,2,9
2022-09-11,410176,1,9
2022-09-10,414587,7,9
2022-09-09,430244,6,9
2022-09-08,431963,5,9
2022-09-07,431800,4,9
2022-09-06,462891,3,9
2022-09-05,462389,2,9
2022-09-04,450186,1,9
2022-09-03,421998,7,9
2022-09-02,429684,6,9
2022-09-01,458351,5,9
2022-08-31,494411,4,8
2022-08-30,553334,3,8
2022-08-29,550544,2,8
2022-08-28,468204,1,8
2022-08-27,483418,7,8
2022-08-26,525128,6,8
2022-08-25,523934,5,8
2022-08-24,515251,4,8
2022-08-23,515643,3,8
2022-08-22,503422,2,8
2022-08-21,478724,1,8
2022-08-20,494694,7,8
2022-08-19,490626,6,8
2022-08-18,463151,5,8
2022-08-17,454669,4,8
2022-08-16,467088,3,8
2022-08-15,465434,2,8
2022-08-14,412349,1,8
2022-08-13,411863,7,8
2022-08-12,475127,6,8
2022-08-11,527410,5,8
2022-08-10,543232,4,8
2022-08-09,611972,3,8
2022-08-08,621287,2,8
2022-08-07,573906,1,8
2022-08-06,560940,7,8
2022-08-05,576386,6,8
2022-08-04,581315,5,8
2022-08-03,544856,4,8
2022-08-02,537157,3,8
2022-08-01,498356,2,8
2022-07-31,470435,1,7
2022-07-30,482024,7,7
2022-07-29,532754,6,7
2022-07-28,556273,5,7
2022-07-27,498791,4,7
2022-07-26,496129,3,7
2022-07-25,574545,2,7
2022-07-24,563938,1,7
2022-07-23,559974,7,7
2022-07-22,585707,6,7
2022-07-21,608105,5,7
2022-07-20,605859,4,7
2022-07-19,558981,3,7
2022-07-18,526190,2,7
2022-07-17,480966,1,7
2022-07-16,462208,7,7
2022-07-15,486175,6,7
2022-07-14,516803,5,7
2022-07-13,527084,4,7
2022-07-12,521841,3,7
2022-07-11,472530,2,7
2022-07-10,412997,1,7
2022-07-09,440819,7,7
