,period,respondent,respondent-name,type,type-name,timezone,timezone-description,value,value-units
255,2024-07-26,NY,New York,D,Demand,Eastern,Eastern,459510,megawatthours
256,2024-07-25,NY,New York,D,Demand,Eastern,Eastern,504415,megawatthours
257,2024-07-24,NY,New York,D,Demand,Eastern,Eastern,522291,megawatthours
258,2024-07-23,NY,New York,D,Demand,Eastern,Eastern,515697,megawatthours
259,2024-07-22,NY,New York,D,Demand,Eastern,Eastern,526457,megawatthours
260,2024-07-21,NY,New York,D,Demand,Eastern,Eastern,482653,megawatthours
261,2024-07-20,NY,New York,D,Demand,Eastern,Eastern,457240,megawatthours
262,2024-07-19,NY,New York,D,Demand,Eastern,Eastern,474958,megawatthours
263,2024-07-18,NY,New York,D,Demand,Eastern,Eastern,523047,megawatthours
264,2024-07-17,NY,New York,D,Demand,Eastern,Eastern,572022,megawatthours
265,2024-07-16,NY,New York,D,Demand,Eastern,Eastern,592567,megawatthours
266,2024-07-15,NY,New York,D,Demand,Eastern,Eastern,582246,megawatthours
267,2024-07-14,NY,New York,D,Demand,Eastern,Eastern,519002,megawatthours
268,2024-07-13,NY,New York,D,Demand,Eastern,Eastern,514810,megawatthours
269,2024-07-12,NY,New York,D,Demand,Eastern,Eastern,537021,megawatthours
270,2024-07-11,NY,New York,D,Demand,Eastern,Eastern,560345,megawatthours
271,2024-07-10,NY,New York,D,Demand,Eastern,Eastern,596679,megawatthours
272,2024-07-09,NY,New York,D,Demand,Eastern,Eastern,584881,megawatthours
273,2024-07-08,NY,New York,D,Demand,Eastern,Eastern,575041,megawatthours
274,2024-07-07,NY,New York,D,Demand,Eastern,Eastern,521388,megawatthours
275,2024-07-06,NY,New York,D,Demand,Eastern,Eastern,524043,megawatthours
276,2024-07-05,NY,New York,D,Demand,Eastern,Eastern,535062,megawatthours
277,2024-07-04,NY,New York,D,Demand,Eastern,Eastern,468304,megawatthours
278,2024-07-03,NY,New York,D,Demand,Eastern,Eastern,464048,megawatthours
279,2024-07-02,NY,New York,D,Demand,Eastern,Eastern,442764,megawatthours
280,2024-07-01,NY,New York,D,Demand,Eastern,Eastern,431153,megawatthours
281,2024-06-30,NY,New York,D,Demand,Eastern,Eastern,459818,megawatthours
282,2024-06-29,NY,New York,D,Demand,Eastern,Eastern,428966,megawatthours
283,2024-06-28,NY,New York,D,Demand,Eastern,Eastern,413704,megawatthours
284,2024-06-27,NY,New York,D,Demand,Eastern,Eastern,474388,megawatthours
285,2024-06-26,NY,New York,D,Demand,Eastern,Eastern,525513,megawatthours
286,2024-06-25,NY,New York,D,Demand,Eastern,Eastern,488333,megawatthours
287,2024-06-24,NY,New York,D,Demand,Eastern,Eastern,487872,megawatthours
288,2024-06-23,NY,New York,D,Demand,Eastern,Eastern,528587,megawatthours
289,2024-06-22,NY,New York,D,Demand,Eastern,Eastern,535052,megawatthours
290,2024-06-21,NY,New York,D,Demand,Eastern,Eastern,569747,megawatthours
291,2024-06-20,NY,New York,D,Demand,Eastern,Eastern,560371,megawatthours
292,2024-06-19,NY,New York,D,Demand,Eastern,Eastern,543998,megawatthours
293,2024-06-18,NY,New York,D,Demand,Eastern,Eastern,528597,megawatthours
294,2024-06-17,NY,New York,D,Demand,Eastern,Eastern,472702,megawatthours
295,2024-06-16,NY,New York,D,Demand,Eastern,Eastern,373330,megawatthours
296,2024-06-15,NY,New York,D,Demand,Eastern,Eastern,392856,megawatthours
297,2024-06-14,NY,New York,D,Demand,Eastern,Eastern,460500,megawatthours
298,2024-06-13,NY,New York,D,Demand,Eastern,Eastern,437863,megawatthours
299,2024-06-12,NY,New York,D,Demand,Eastern,Eastern,400073,megawatthours
300,2024-06-11,NY,New York,D,Demand,Eastern,Eastern,396022,megawatthours
301,2024-06-10,NY,New York,D,Demand,Eastern,Eastern,397209,megawatthours
302,2024-06-09,NY,New York,D,Demand,Eastern,Eastern,372919,megawatthours
303,2024-06-08,NY,New York,D,Demand,Eastern,Eastern,379216,megawatthours
304,2024-06-07,NY,New York,D,Demand,Eastern,Eastern,437779,megawatthours
305,2024-06-06,NY,New York,D,Demand,Eastern,Eastern,475275,megawatthours
306,2024-06-05,NY,New York,D,Demand,Eastern,Eastern,461009,megawatthours
307,2024-06-04,NY,New York,D,Demand,Eastern,Eastern,455096,megawatthours
308,2024-06-03,NY,New York,D,Demand,Eastern,Eastern,448343,megawatthours
309,2024-06-02,NY,New York,D,Demand,Eastern,Eastern,378133,megawatthours
310,2024-06-01,NY,New York,D,Demand,Eastern,Eastern,360183,megawatthours
311,2024-05-31,NY,New York,D,Demand,Eastern,Eastern,365780,megawatthours
312,2024-05-30,NY,New York,D,Demand,Eastern,Eastern,368523,megawatthours
313,2024-05-29,NY,New York,D,Demand,Eastern,Eastern,393945,megawatthours
314,2024-05-28,NY,New York,D,Demand,Eastern,Eastern,415978,megawatthours
315,2024-05-27,NY,New York,D,Demand,Eastern,Eastern,398974,megawatthours
316,2024-05-26,NY,New York,D,Demand,Eastern,Eastern,382548,megawatthours
317,2024-05-25,NY,New York,D,Demand,Eastern,Eastern,375230,megawatthours
318,2024-05-24,NY,New York,D,Demand,Eastern,Eastern,414012,megawatthours
319,2024-05-23,NY,New York,D,Demand,Eastern,Eastern,424937,megawatthours
320,2024-05-22,NY,New York,D,Demand,Eastern,Eastern,434377,megawatthours
321,2024-05-21,NY,New York,D,Demand,Eastern,Eastern,408914,megawatthours
322,2024-05-20,NY,New York,D,Demand,Eastern,Eastern,377636,megawatthours
323,2024-05-19,NY,New York,D,Demand,Eastern,Eastern,336057,megawatthours
324,2024-05-18,NY,New York,D,Demand,Eastern,Eastern,336962,megawatthours
325,2024-05-17,NY,New York,D,Demand,Eastern,Eastern,358677,megawatthours
326,2024-05-16,NY,New York,D,Demand,Eastern,Eastern,363810,megawatthours
327,2024-05-15,NY,New York,D,Demand,Eastern,Eastern,367413,megawatthours
328,2024-05-14,NY,New York,D,Demand,Eastern,Eastern,354711,megawatthours
329,2024-05-13,NY,New York,D,Demand,Eastern,Eastern,347954,megawatthours
330,2024-05-12,NY,New York,D,Demand,Eastern,Eastern,322479,megawatthours
331,2024-05-11,NY,New York,D,Demand,Eastern,Eastern,318881,megawatthours
332,2024-05-10,NY,New York,D,Demand,Eastern,Eastern,355509,megawatthours
333,2024-05-09,NY,New York,D,Demand,Eastern,Eastern,361010,megawatthours
334,2024-05-08,NY,New York,D,Demand,Eastern,Eastern,377331,megawatthours
335,2024-05-07,NY,New York,D,Demand,Eastern,Eastern,351355,megawatthours
336,2024-05-06,NY,New York,D,Demand,Eastern,Eastern,350571,megawatthours
337,2024-05-05,NY,New York,D,Demand,Eastern,Eastern,337959,megawatthours
338,2024-05-04,NY,New York,D,Demand,Eastern,Eastern,322139,megawatthours
339,2024-05-03,NY,New York,D,Demand,Eastern,Eastern,341940,megawatthours
340,2024-05-02,NY,New York,D,Demand,Eastern,Eastern,349936,megawatthours
341,2024-05-01,NY,New York,D,Demand,Eastern,Eastern,350558,megawatthours
342,2024-04-30,NY,New York,D,Demand,Eastern,Eastern,357614,megawatthours
343,2024-04-29,NY,New York,D,Demand,Eastern,Eastern,367015,megawatthours
344,2024-04-28,NY,New York,D,Demand,Eastern,Eastern,325176,megawatthours
