Date,MWh,Min_temp,Max_temp,Avg_temp
2021-05-03,355985,14.2,16.1,15.15
2021-05-04,358866,14.8,22.2,18.5
2021-05-05,360820,12.5,15.4,13.95
2021-05-06,345402,12.9,17.3,15.100000000000001
2021-05-07,348856,11.9,16.5,14.2
2021-05-08,333170,9.9,11.5,10.7
2021-05-09,321625,10.3,16.8,13.55
2021-05-10,356421,11.2,15.1,13.149999999999999
2021-05-11,353517,12.2,16.8,14.5
2021-05-12,351423,11.8,17.9,14.85
2021-05-13,350029,13.7,19.2,16.45
2021-05-14,351062,15.2,22.0,18.6
2021-05-15,328050,16.4,22.7,19.549999999999997
2021-05-16,327384,16.4,21.7,19.049999999999997
2021-05-17,362224,16.6,22.9,19.75
2021-05-18,377601,19.3,26.5,22.9
2021-05-19,403734,20.9,28.6,24.75
2021-05-20,401067,16.6,21.6,19.1
2021-05-21,406843,17.4,23.0,20.2
2021-05-22,406830,24.0,30.8,27.4
2021-05-23,425957,25.1,31.6,28.35
2021-05-24,384548,16.0,19.0,17.5
2021-05-25,395964,17.4,21.6,19.5
2021-05-26,444047,23.0,29.3,26.15
2021-05-27,421184,22.7,27.7,25.2
2021-05-28,376794,14.8,18.9,16.85
2021-05-29,344443,9.8,11.1,10.45
2021-05-30,338613,9.8,11.5,10.65
2021-05-31,331594,14.0,20.5,17.25
2021-06-01,368916,16.8,23.8,20.3
2021-06-02,384575,17.2,21.7,19.45
2021-06-03,394875,17.7,22.4,20.049999999999997
2021-06-04,417200,20.8,25.4,23.1
2021-06-05,435041,24.1,31.5,27.8
2021-06-06,480108,25.7,31.4,28.549999999999997
2021-06-07,538108,25.2,30.3,27.75
2021-06-08,535458,25.1,30.2,27.65
2021-06-09,545958,25.5,30.4,27.95
2021-06-10,482074,22.5,26.5,24.5
2021-06-11,415274,17.6,20.7,19.15
2021-06-12,383299,18.5,21.3,19.9
2021-06-13,384833,18.7,23.6,21.15
2021-06-14,417920,19.1,21.3,20.200000000000003
2021-06-15,425076,20.9,25.4,23.15
2021-06-16,401587,19.4,23.3,21.35
2021-06-17,397991,18.6,24.0,21.3
2021-06-18,423960,20.8,27.5,24.15
2021-06-19,450071,24.2,32.3,28.25
2021-06-20,451424,23.0,29.2,26.1
2021-06-21,531239,24.6,27.8,26.200000000000003
2021-06-22,446933,20.5,24.5,22.5
2021-06-23,392962,17.9,23.2,20.549999999999997
2021-06-24,411361,18.4,22.7,20.549999999999997
2021-06-25,435296,19.5,24.2,21.85
2021-06-26,464480,22.7,26.2,24.45
2021-06-27,510104,25.6,29.2,27.4
2021-06-28,594510,27.5,32.5,30.0
2021-06-29,618929,28.5,33.5,31.0
2021-06-30,614517,29.8,35.4,32.6
2021-07-01,529786,24.9,28.6,26.75
2021-07-02,465323,22.0,24.4,23.2
2021-07-03,377791,17.7,19.5,18.6
2021-07-04,372944,20.2,25.0,22.6
2021-07-05,439509,22.7,26.3,24.5
2021-07-06,538613,26.4,33.3,29.849999999999998
2021-07-07,550353,26.7,31.8,29.25
2021-07-08,515975,24.5,27.9,26.2
2021-07-09,498113,24.7,30.0,27.35
2021-07-10,448446,23.2,25.8,24.5
2021-07-11,430384,22.4,24.7,23.549999999999997
2021-07-12,496398,24.8,28.4,26.6
2021-07-13,484708,22.9,25.7,24.299999999999997
2021-07-14,516042,24.9,30.5,27.7
2021-07-15,551789,25.7,29.3,27.5
2021-07-16,570552,27.7,32.4,30.049999999999997
2021-07-17,514869,26.8,30.7,28.75
2021-07-18,474043,25.1,28.4,26.75
2021-07-19,495959,24.0,27.7,25.85
2021-07-20,525650,25.6,31.0,28.3
2021-07-21,491012,23.9,28.0,25.95
2021-07-22,459845,22.4,26.7,24.549999999999997
2021-07-23,458287,22.4,26.3,24.35
2021-07-24,436459,22.6,26.7,24.65
2021-07-25,463355,24.3,28.7,26.5
2021-07-26,532521,26.1,31.8,28.950000000000003
2021-07-27,522558,25.0,30.5,27.75
2021-07-28,490337,23.3,26.9,25.1
2021-07-29,471653,22.4,25.4,23.9
2021-07-30,455163,23.2,27.9,25.549999999999997
2021-07-31,384501,19.7,25.8,22.75
2021-08-01,393980,21.3,24.1,22.700000000000003
2021-08-02,432120,21.4,26.5,23.95
2021-08-03,428325,20.4,24.2,22.299999999999997
2021-08-04,435027,21.0,24.4,22.7
2021-08-05,453627,21.6,27.0,24.3
2021-08-06,495648,23.7,28.7,26.2
2021-08-07,480482,24.5,29.6,27.05
2021-08-08,450707,20.9,22.7,21.799999999999997
2021-08-09,506104,22.8,26.3,24.55
2021-08-10,533246,23.9,27.2,25.549999999999997
2021-08-11,576272,26.6,31.7,29.15
2021-08-12,591527,28.2,35.1,31.65
2021-08-13,600360,28.4,33.0,30.7
2021-08-14,530336,27.1,31.4,29.25
2021-08-15,440552,23.6,27.6,25.6
2021-08-16,472967,22.8,26.5,24.65
2021-08-17,494718,23.7,26.1,24.9
2021-08-18,516433,24.3,26.9,25.6
2021-08-19,543100,26.3,30.3,28.3
2021-08-20,525709,24.5,26.6,25.55
2021-08-21,500330,24.6,27.0,25.8
2021-08-22,474030,23.0,23.5,23.25
2021-08-23,514700,24.5,28.5,26.5
2021-08-24,545593,25.9,30.8,28.35
2021-08-25,565729,25.8,31.2,28.5
2021-08-26,598650,26.7,31.8,29.25
2021-08-27,583902,27.1,32.3,29.7
